"artist","title","year","label","genre","source"
"Преслава","The Best Of Преслава - Мастика Пещера - Страст На Кристали","2009","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Елена Паришева","Изгубена","2010","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Юнона","Ти Не Си Виновна","2016","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"орк. Кристали","Авантюра","1998","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Елена Паришева","Между Две Минути","2010","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Нелина","Силните Печелят В Любовта","2014","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Теди Александрова ft. Азис и Наси","Подгряващи Звездички","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Елена Паришева","Ще Ме Търсиш","2010","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Елена Паришева","Не Пускай","2011","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Елена Паришева","Нека Ми Е Зле","2011","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Татяна","Да Сме Квит","2015","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Мария","Спомен","2000","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Юнона","Заради Теб","2016","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Нелина","Имунитет","2018","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"орк. Кристали","Уикенд и Любовна Интрига","2001","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Нелина","Чорбаджи Иван","2010","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Анелия","Генерал","2015","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Райна","А Бях Ти Казала","2019","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"орк. Козари*","Божи Дар","1994","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Джулия (2) ft. Галена*","Поздрав За Жена Ти","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Elena Velevska","Уволнен Си От Живота Ми","2014","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Екстра Нина","Македонска Сватба","2007","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Екстра Нина","Долу Маските","2000","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Емилия","Специално За Всяка","2016","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Белите Шишарки*","Прости Ми","1993","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Gloria*","Докосването Има Памет","2016","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
